id,sku,name,description,current_price,current_stock,status,creation_date,last_update
8,AUD-EDI-00008-L752,Edifier Bocina portátil Essential L752 Plus,"Bocina portátil Edifier, modelo L752, versión Plus, acabado plata; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",4309.9,82,1,07/01/2022 10:59,03/11/2023 09:38
9,ENE-DUR-00009-U892,Duracell Regulador de voltaje Select U892 600 VA,"Regulador de voltaje Duracell, modelo U892, versión 600 VA, acabado plata; característica principal: supresor de picos. Producto para uso doméstico, académico o profesional según la categoría.",9059.9,43,1,05/02/2024 08:47,19/10/2024 08:22
10,AUD-SON-00010-Y163,Sony Barra de sonido Smart Y163 2.1,"Barra de sonido Sony, modelo Y163, versión 2.1, acabado gris; característica principal: Dolby Audio. Producto para uso doméstico, académico o profesional según la categoría.",6990,48,1,20/08/2025 15:09,30/11/2025 18:34
11,ALM-WES-00011-X202,Western Digital Memoria USB Smart X202 32 GB,"Memoria USB Western Digital, modelo X202, versión 32 GB, acabado negro; característica principal: compacta. Producto para uso doméstico, académico o profesional según la categoría.",3709.9,80,1,04/04/2023 06:56,21/11/2023 06:16
12,ACC-GEN-00012-L455,Genius Webcam Advance L455 1080p,"Webcam Genius, modelo L455, versión 1080p, acabado negro; característica principal: micrófono integrado. Producto para uso doméstico, académico o profesional según la categoría.",3460,24,1,10/10/2025 17:24,04/09/2026 18:10
13,ENE-ENE-00013-T983,Energizer Regulador de voltaje Max T983 1000 VA,"Regulador de voltaje Energizer, modelo T983, versión 1000 VA, acabado gris; característica principal: 8 contactos. Producto para uso doméstico, académico o profesional según la categoría.",2809.9,45,1,28/10/2024 05:21,28/04/2026 07:54
14,HOG-OST-00014-U616,Oster Freidora de aire Prime U616 3.5 L,"Freidora de aire Oster, modelo U616, versión 3.5 L, acabado negro; característica principal: 8 programas. Producto para uso doméstico, académico o profesional según la categoría.",3509.9,22,1,13/12/2021 22:30,21/05/2025 22:40
15,RED-D-L-00015-K880,D-Link Router Wi-Fi Ultra K880 AC1200,"Router Wi-Fi D-Link, modelo K880, versión AC1200, acabado plata; característica principal: Gigabit. Producto para uso doméstico, académico o profesional según la categoría.",6989.9,25,1,29/11/2024 16:11,18/05/2026 11:27
16,MOV-OPP-00016-K826,OPPO Smartphone Pro K826 256 GB,"Smartphone OPPO, modelo K826, versión 256 GB, acabado gris; característica principal: 5G. Producto para uso doméstico, académico o profesional según la categoría.",6029.9,43,1,08/04/2025 04:19,10/11/2025 14:17
17,ACC-BAS-00017-V928,Baseus Webcam Connect V928 1080p,"Webcam Baseus, modelo V928, versión 1080p, acabado plata; característica principal: USB. Producto para uso doméstico, académico o profesional según la categoría.",2240,28,1,05/03/2024 19:55,25/10/2025 09:11
18,RED-LIN-00018-Q239,Linksys Punto de acceso Select Q239 Pro,"Punto de acceso Linksys, modelo Q239, versión Pro, acabado plata; característica principal: montaje en techo. Producto para uso doméstico, académico o profesional según la categoría.",9280,25,1,13/05/2024 01:32,29/05/2024 04:29
19,HOG-BLA-00019-J597,Black+Decker Aspiradora Prime J597 Power,"Aspiradora Black+Decker, modelo J597, versión Power, acabado negro; característica principal: filtro HEPA. Producto para uso doméstico, académico o profesional según la categoría.",6560,53,1,16/12/2024 09:59,04/10/2025 07:21
20,ALM-SAN-00020-R474,SanDisk Memoria USB Advance R474 64 GB,"Memoria USB SanDisk, modelo R474, versión 64 GB, acabado blanco; característica principal: USB 3.2. Producto para uso doméstico, académico o profesional según la categoría.",1409.9,0,0,09/06/2022 11:13,14/12/2024 20:46
21,ALM-KIN-00021-H576,Kingston Disco duro externo Prime H576 2 TB,"Disco duro externo Kingston, modelo H576, versión 2 TB, acabado blanco; característica principal: cifrado por software. Producto para uso doméstico, académico o profesional según la categoría.",6770,21,1,24/08/2026 00:33,08/09/2026 22:51
22,ACC-BEL-00022-G934,Belkin Webcam Max G934 720p,"Webcam Belkin, modelo G934, versión 720p, acabado azul; característica principal: autofocus. Producto para uso doméstico, académico o profesional según la categoría.",2830,37,1,09/07/2023 21:06,30/12/2025 13:21
23,ENE-DUR-00023-Q391,Duracell No-break UPS Prime Q391 600 VA,"No-break UPS Duracell, modelo Q391, versión 600 VA, acabado gris; característica principal: regulador AVR. Producto para uso doméstico, académico o profesional según la categoría.",7060,84,1,29/11/2021 09:07,19/07/2025 17:42
24,ALM-CRU-00024-X502,Crucial Unidad SSD Pro X502 2 TB,"Unidad SSD Crucial, modelo X502, versión 2 TB, acabado gris; característica principal: SATA III. Producto para uso doméstico, académico o profesional según la categoría.",179.9,14,1,03/04/2024 22:12,15/05/2025 08:14
25,ENE-KOB-00025-P753,Koblenz Multicontacto Advance P753 6 salidas,"Multicontacto Koblenz, modelo P753, versión 6 salidas, acabado negro; característica principal: supresor de picos. Producto para uso doméstico, académico o profesional según la categoría.",6849.9,84,1,26/03/2026 03:49,31/03/2026 12:44
26,GAM-COR-00026-X993,Corsair Mouse gaming Essential X993 Elite,"Mouse gaming Corsair, modelo X993, versión Elite, acabado gris; característica principal: RGB. Producto para uso doméstico, académico o profesional según la categoría.",3370,49,1,31/03/2025 04:03,03/11/2025 01:37
27,ACC-XIA-00027-B445,Xiaomi Cable USB-C Pro B445 1.5 m,"Cable USB-C Xiaomi, modelo B445, versión 1.5 m, acabado gris; característica principal: carga rápida. Producto para uso doméstico, académico o profesional según la categoría.",1540,20,1,25/12/2025 22:47,04/03/2026 05:17
28,OFI-LOG-00028-D837,Logitech Trituradora de papel Select D837 12 hojas,"Trituradora de papel Logitech, modelo D837, versión 12 hojas, acabado plata; característica principal: protección térmica. Producto para uso doméstico, académico o profesional según la categoría.",4590,37,1,05/08/2023 05:24,20/04/2024 02:59
29,ACC-BAS-00029-X473,Baseus Cable USB-C Smart X473 1 m,"Cable USB-C Baseus, modelo X473, versión 1 m, acabado plata; característica principal: datos. Producto para uso doméstico, académico o profesional según la categoría.",419.9,26,1,10/09/2022 23:51,20/10/2022 08:14
30,RED-TP--00030-K823,TP-Link Router Wi-Fi Select K823 AC1200,"Router Wi-Fi TP-Link, modelo K823, versión AC1200, acabado blanco; característica principal: Wi-Fi 6. Producto para uso doméstico, académico o profesional según la categoría.",3249.9,82,1,12/12/2023 03:30,11/08/2026 04:44
31,AUD-JBL-00031-G362,JBL Bocina portátil Prime G362 Plus,"Bocina portátil JBL, modelo G362, versión Plus, acabado plata; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",10419.9,28,1,07/01/2024 20:55,31/12/2025 08:14
32,RED-TP--00032-Y288,TP-Link Switch de red Advance Y288 5 puertos,"Switch de red TP-Link, modelo Y288, versión 5 puertos, acabado gris; característica principal: PoE. Producto para uso doméstico, académico o profesional según la categoría.",4100,61,1,12/09/2024 01:21,05/10/2024 22:00
33,MOV-OPP-00033-J999,OPPO Batería portátil Connect J999 20000 mAh,"Batería portátil OPPO, modelo J999, versión 20000 mAh, acabado negro; característica principal: carga rápida. Producto para uso doméstico, académico o profesional según la categoría.",8320,46,1,13/04/2022 02:41,15/04/2025 07:11
